,recommenderId,action,Count
71,TagSimilarity,PlayedFromYoutubePlayer,91231
79,TagSimilarity,TrailerPaused,78560
77,TagSimilarity,TrailerModalLaunched,43159
67,TagSimilarity,PlayedFromLaunch,39949
78,TagSimilarity,TrailerModalShutdown,14488
75,TagSimilarity,TrailerEnded,5896
70,TagSimilarity,PlayedFromRecommendation,2498
66,TagSimilarity,MovieDetailsModalOpened,1637
65,TagSimilarity,MovieDetailsModalClosed,1518
83,TagSimilarity,WishlistedMovie,637
76,TagSimilarity,TrailerLiked,458
72,TagSimilarity,RatedMovie,313
63,TagSimilarity,GoToMovieDetails,232
68,TagSimilarity,PlayedFromNext,231
74,TagSimilarity,TrailerDisliked,182
73,TagSimilarity,RecommendationsRefreshed,102
82,TagSimilarity,UnwishlistedMovie,61
69,TagSimilarity,PlayedFromPrevious,51
80,TagSimilarity,TrailerUndisliked,26
81,TagSimilarity,TrailerUnliked,25
64,TagSimilarity,IssueRaised,13
50,ShuffledTopPicks,PlayedFromYoutubePlayer,91451
58,ShuffledTopPicks,TrailerPaused,77717
56,ShuffledTopPicks,TrailerModalLaunched,43044
46,ShuffledTopPicks,PlayedFromLaunch,39785
57,ShuffledTopPicks,TrailerModalShutdown,13660
54,ShuffledTopPicks,TrailerEnded,5603
49,ShuffledTopPicks,PlayedFromRecommendation,955
45,ShuffledTopPicks,MovieDetailsModalOpened,778
44,ShuffledTopPicks,MovieDetailsModalClosed,675
62,ShuffledTopPicks,WishlistedMovie,479
55,ShuffledTopPicks,TrailerLiked,443
47,ShuffledTopPicks,PlayedFromNext,360
53,ShuffledTopPicks,TrailerDisliked,222
42,ShuffledTopPicks,GoToMovieDetails,123
51,ShuffledTopPicks,RatedMovie,97
48,ShuffledTopPicks,PlayedFromPrevious,54
52,ShuffledTopPicks,RecommendationsRefreshed,49
61,ShuffledTopPicks,UnwishlistedMovie,38
60,ShuffledTopPicks,TrailerUnliked,21
59,ShuffledTopPicks,TrailerUndisliked,13
43,ShuffledTopPicks,IssueRaised,10
29,PredictedRating,PlayedFromYoutubePlayer,87437
37,PredictedRating,TrailerPaused,75914
35,PredictedRating,TrailerModalLaunched,42990
25,PredictedRating,PlayedFromLaunch,39484
36,PredictedRating,TrailerModalShutdown,14015
33,PredictedRating,TrailerEnded,6144
24,PredictedRating,MovieDetailsModalOpened,1846
28,PredictedRating,PlayedFromRecommendation,1807
23,PredictedRating,MovieDetailsModalClosed,1742
41,PredictedRating,WishlistedMovie,918
34,PredictedRating,TrailerLiked,586
30,PredictedRating,RatedMovie,419
26,PredictedRating,PlayedFromNext,337
21,PredictedRating,GoToMovieDetails,300
32,PredictedRating,TrailerDisliked,262
31,PredictedRating,RecommendationsRefreshed,106
40,PredictedRating,UnwishlistedMovie,62
27,PredictedRating,PlayedFromPrevious,47
38,PredictedRating,TrailerUndisliked,36
39,PredictedRating,TrailerUnliked,29
22,PredictedRating,IssueRaised,14
8,FilmReleaseDate,PlayedFromYoutubePlayer,88297
16,FilmReleaseDate,TrailerPaused,74872
14,FilmReleaseDate,TrailerModalLaunched,41896
4,FilmReleaseDate,PlayedFromLaunch,38599
15,FilmReleaseDate,TrailerModalShutdown,13581
12,FilmReleaseDate,TrailerEnded,5867
7,FilmReleaseDate,PlayedFromRecommendation,2366
3,FilmReleaseDate,MovieDetailsModalOpened,1763
2,FilmReleaseDate,MovieDetailsModalClosed,1637
20,FilmReleaseDate,WishlistedMovie,791
13,FilmReleaseDate,TrailerLiked,609
5,FilmReleaseDate,PlayedFromNext,407
9,FilmReleaseDate,RatedMovie,380
11,FilmReleaseDate,TrailerDisliked,235
0,FilmReleaseDate,GoToMovieDetails,234
10,FilmReleaseDate,RecommendationsRefreshed,97
19,FilmReleaseDate,UnwishlistedMovie,67
6,FilmReleaseDate,PlayedFromPrevious,29
18,FilmReleaseDate,TrailerUnliked,17
1,FilmReleaseDate,IssueRaised,15
17,FilmReleaseDate,TrailerUndisliked,11
