,action,recommenderId,count,count_rec_clicks,ratio_action_rec_clicks
0,GoToMovieDetails,FilmReleaseDate,68,2801,0.024277043912888253
1,GoToMovieDetails,PredictedRating,66,2189,0.03015075376884422
2,GoToMovieDetails,ShuffledTopPicks,18,1367,0.013167520117044623
3,GoToMovieDetails,TagSimilarity,67,2780,0.02410071942446043
4,MovieDetailsModalOpened,FilmReleaseDate,289,2801,0.10317743662977508
5,MovieDetailsModalOpened,PredictedRating,244,2189,0.11146642302421197
6,MovieDetailsModalOpened,ShuffledTopPicks,67,1367,0.04901243599122165
7,MovieDetailsModalOpened,TagSimilarity,263,2780,0.09460431654676259
8,TrailerDisliked,FilmReleaseDate,14,2801,0.004998214923241699
9,TrailerDisliked,PredictedRating,8,2189,0.003654636820465966
10,TrailerDisliked,ShuffledTopPicks,27,1367,0.019751280175566936
11,TrailerDisliked,TagSimilarity,4,2780,0.0014388489208633094
12,TrailerLiked,FilmReleaseDate,95,2801,0.033916458407711535
13,TrailerLiked,PredictedRating,72,2189,0.0328917313841937
14,TrailerLiked,ShuffledTopPicks,21,1367,0.015362106803218726
15,TrailerLiked,TagSimilarity,35,2780,0.012589928057553957
16,WatchedMoreThanHalf,FilmReleaseDate,1351,2801,0.482327740092824
17,WatchedMoreThanHalf,PredictedRating,990,2189,0.45226130653266333
18,WatchedMoreThanHalf,ShuffledTopPicks,511,1367,0.373811265544989
19,WatchedMoreThanHalf,TagSimilarity,1225,2780,0.44064748201438847
20,WishlistedMovie,FilmReleaseDate,235,2801,0.08389860764012852
21,WishlistedMovie,PredictedRating,143,2189,0.06532663316582915
22,WishlistedMovie,ShuffledTopPicks,66,1367,0.048280907095830286
23,WishlistedMovie,TagSimilarity,128,2780,0.0460431654676259
